"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","sig_genest_in_geneset","prop_genes"
"REACTOME_ANTIGEN_PROCESSING:_UBIQUITINATION_PROTEASOME_DEGRADATION",4.68459550421185e-07,7.98577139858614e-06,32,241,613,13710,"CDC20, PSMA5, PSMD4, PSMD14, RNF25, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, UBE2S",0.117216117216117
"REACTOME_CILIUM_ASSEMBLY",6.45494353325104e-05,0.000818877138927545,21,163,624,13788,"DYNC2LI1, CCT4, TUBA4A, CCT5, KIF3A, TUBB2A, TCP1, WDR34, TUBB4B, ARL3, TUBA1B, TUBA1A, TUBA1C, CCT2, HSP90AA1, CLUAP1, PLK1, TUBG1, TUBB6, PPP2R1A, CCT8",0.114130434782609
"REACTOME_INNATE_IMMUNE_SYSTEM",1.7791118074192e-14,4.41138859521442e-13,77,604,568,13347,"DDOST, PPIE, PSMA5, CD58, PSMD4, ILF2, CD55, DEGS1, PSMD14, XRCC5, DYNC1LI1, PSMD6, NIT2, CD47, PTX3, PSMD2, HEXB, SKP1, HLA-A, HLA-C, HLA-B, POLR1C, HSP90AB1, FUCA2, PSMB1, ACTB, PSMA2, GUSB, PSMC2, CAPZA2, PRDX4, CLU, SDCBP, GGH, ERP44, PSMB7, TUBB4B, PSMD13, COPB1, PSMA1, PSMC3, CTSC, CASP1, DERA, ATF1, CD63, PA2G4, CCT2, HMGB1, PSME2, PSMA6, PSMC6, ACTR10, PSMA3, PSMC1, HSP90AA1, ANXA2, PKM, PSMA4, HMOX2, ATP6V0D1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, CPNE1, PSMA7, PSMD8, NFKBIB, PSMC4, PLAUR, PPP2R1A, XRCC6, CCT8",0.113069016152717
"REACTOME_SIGNALING_BY_INTERLEUKINS",9.64076364597786e-09,1.91237693413852e-07,47,384,598,13567,"PSMA5, PSMD4, ARF1, PSMD14, PSMD6, PSMD2, HNRNPDL, SKP1, TCP1, PSMB1, ACTB, HNRNPA2B1, PSMA2, PSMC2, TIMP1, ANXA1, PSMB7, PSMD13, TALDO1, PSMA1, PSMC3, CASP1, GSTO1, ATF1, HMGB1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, ANXA2, PSMA4, SNRPA1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, BIRC5, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4, PPP2R1A",0.109048723897912
"REACTOME_PROTEIN_LOCALIZATION",0.000787307538333036,0.00821964138106547,16,131,629,13820,"MTX1, HSPD1, BCS1L, HACL1, GRPEL1, COQ2, SLC25A4, ECI2, IDH3G, PMPCA, TIMM23, ATP5F1B, UBB, ASNA1, TOMM40, SAMM50",0.108843537414966
"KEGG_HUNTINGTONS_DISEASE",0.000671065135847911,0.00714275183619581,17,142,628,13809,"SDHB, HDAC1, NDUFS2, UQCRC1, PPID, SLC25A4, SDHA, SLC25A5, VDAC3, NDUFS3, POLR2G, ATP5F1C, NDUFA9, ATP5F1B, UQCRC2, POLR2C, UQCRFS1",0.106918238993711
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",7.1502824708428e-10,1.50018426455567e-08,57,481,588,13470,"CAPZB, CDC20, PSMA5, PSMD4, ARF1, PSMD14, RNF25, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, KIF3A, SKP1, KIF20A, TUBB2A, HLA-A, HLA-C, HLA-B, PSMB1, PSMA2, PSMC2, CAPZA2, BCAP31, PSMB7, HSPA5, TUBB4B, PSMD13, PSMA1, PSMC3, CTSC, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, ACTR10, PSMA3, PSMC1, PDIA3, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4, NECTIN2, PPP2R1A, UBE2S",0.105947955390335
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES",3.97597219867482e-08,7.29039608193988e-07,47,404,598,13547,"PSMA5, PSMD4, PSMD14, MAIP1, PSMD6, ATP1B3, PSMD2, SLC25A4, SKP1, SGK1, PSMB1, PSMA2, SRI, PSMC2, SLC25A5, VDAC3, DERL1, PSMB7, PMPCA, PSMD13, PSMA1, PSMC3, SLC3A2, CUTC, GLRX3, MICU2, PSME2, PSMA6, PSMC6, PSMA3, EIF2S1, PSMC1, PSMA4, HMOX2, ATP6V0D1, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, SLC16A3, PSMF1, PSMA7, PSMD8, PSMC4",0.104212860310421
"REACTOME_AXON_GUIDANCE",1.50899323209056e-07,2.63409858593729e-06,44,383,601,13568,"MAGOH, PSMA5, RBM8A, PSMD4, PSMD14, TUBA4A, PSMD6, PSMD2, TUBB2A, HSP90AB1, PSMB1, ACTB, PSMA2, PSMC2, SDCBP, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, EIF4A3, MYL12A, MYL12B, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4",0.103044496487119
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",2.06533084727236e-09,4.25146406485687e-08,59,524,586,13427,"PSMA5, PSMD4, ARF1, PSMD14, SEC13, PSMD6, PSMD2, HNRNPDL, EIF4E, SKP1, HLA-A, HLA-C, HLA-B, TCP1, PSMB1, ACTB, HNRNPA2B1, PSMA2, PSMC2, TIMP1, ANXA1, PSMB7, PSMD13, TALDO1, PSMA1, PSMC3, CASP1, GSTO1, ATF1, AAAS, NUP37, HMGB1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, ANXA2, PSMA4, SNRPA1, NUP93, PSMB6, EIF4A1, UBB, PSMD11, PSMB3, PSMD3, PSMD12, KPNA2, BIRC5, EIF4A3, PSMF1, RAE1, PSMA7, PSMD8, NFKBIB, PSMC4, PPP2R1A",0.101200686106346
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE",6.97409562887047e-05,0.000879622928450599,27,244,618,13707,"MTX1, TFB2M, DYNC2LI1, CCT4, TUBA4A, ALAS1, CCT5, KIF3A, TUBB2A, TCP1, WDR34, TUBB4B, ATP5F1C, ARL3, TUBA1B, TUBA1A, TUBA1C, ATP5F1B, CCT2, HSP90AA1, CLUAP1, PLK1, TUBG1, TUBB6, PPP2R1A, SAMM50, CCT8",0.0996309963099631
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",9.12050292171228e-16,2.61854439147055e-14,110,1017,535,12934,"CAPZB, DDOST, HDAC1, CDC20, ALG6, PSMA5, PSMD4, UAP1, UCHL5, CD55, ARF1, PDIA6, NAGK, PSMD14, NOP58, TUBA4A, SEC13, DYNC1LI1, RFT1, PSMD6, RUVBL1, COPB2, ACTL6A, ALG3, PSMD2, COPS4, SPP1, COMMD10, SKP1, LMAN2, TMED9, GMDS, TUBB2A, HLA-A, FUCA2, ULBP2, PSMB1, ACTB, PSMA2, COPS6, PSMC2, CAPZA2, RBBP7, TIMP1, C1GALT1C1, VDAC3, COPS5, DCAF13, DERL1, RRAGA, NANS, ALG2, PSMB7, DOLK, TUBB4B, PSMD13, COPB1, PSMA1, PSMC3, OTUB1, RCE1, ALG8, RAB38, CTSC, DCUN1D5, TRAPPC4, KIN, TUBA1B, TUBA1A, TUBA1C, AAAS, NUP37, PSME2, PSMA6, PSMC6, ACTR10, PSMA3, PSMC1, PDIA3, LEO1, WDR61, PSMA4, ALG1, NUP93, NAE1, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PTRH2, PSMD12, BIRC5, GPS1, TUBB6, PSMF1, PIGU, DPM1, RAE1, PSMA7, ADRM1, DHPS, PSMD8, PSMC4, PLAUR, NAPA, UBE2S, UFD1, KDELR3",0.0976042590949423
"REACTOME_DISEASE",2.72410986391829e-11,6.12784301347392e-10,81,766,564,13185,"GALE, HDAC1, PRDX1, ALG6, GTF2B, PSMA5, PSMD4, LMNA, ARF1, MMADHC, PSMD14, XRCC5, SEC13, RFT1, PSMD6, PCCB, ALG3, PSMD2, PAPSS1, SLC25A4, CDK7, HEXB, CCNH, SKP1, HLA-A, HSP90AB1, PSMB1, ACTB, PSMA2, GUSB, PSMC2, SLC25A5, C1GALT1C1, DERL1, ALG2, PSMB7, CDK9, DOLK, PSMD13, TALDO1, PSMA1, TSG101, PSMC3, POLR2G, SLC3A2, ALG8, DKK1, CD9, AAAS, NUP37, RAN, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, PSMA4, ALG1, NUP93, POLR2C, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, KPNA2, PSMF1, GSS, DPM1, RAE1, NELFCD, PSMA7, PRDX2, PSMD8, PSMC4, PPP2R1A, RANBP1, XRCC6",0.0956316410861865
"REACTOME_RHO_GTPASE_EFFECTORS",0.000520869793820295,0.00571124567897429,23,221,622,13730,"NUDC, CDC20, YWHAQ, RTKN, BUB1, TUBA4A, SEC13, DYNC1LI1, MAD2L1, CENPH, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, NUP37, PLK1, BIRC5, MYL12B, TUBB6, PPP2R1A, CENPM",0.0942622950819672
"REACTOME_HEMOSTASIS",5.63508528080522e-05,0.000736272819324371,35,355,610,13596,"CAPZB, HDAC1, CD58, ECM1, TAGLN2, SCCPDH, TUBA4A, CD47, ATP1B3, ANXA5, KIF3A, KIF20A, TUBB2A, ACTB, SRI, CAPZA2, TIMP1, MAGED2, CLU, HSPA5, TUBB4B, SLC3A2, CD9, TUBA1B, TUBA1A, TUBA1C, CD63, ANXA2, C1QBP, LGALS3BP, SLC16A3, TUBB6, SERPINB8, PLAUR, PPP2R1A",0.0897435897435897
"REACTOME_DEVELOPMENTAL_BIOLOGY",4.98664425138312e-05,0.000663466936373047,52,616,593,13335,"MED8, MAGOH, PSMA5, RBM8A, PSMD4, PSMD14, TUBA4A, PSMD6, PSMD2, TUBB2A, HSP90AB1, PSMB1, ACTB, PSMA2, PSMC2, RBBP7, SDCBP, PSMB7, MED27, TUBB4B, PSMD13, PSMA1, PSMC3, POLR2G, DKK1, TUBA1B, TUBA1A, TUBA1C, KRT18, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, PSMA4, POLR2C, PSMB6, UBB, PSMD11, PSMB3, PSMD3, KRTAP2-3, PSMD12, EIF4A3, MYL12A, MYL12B, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4",0.0778443113772455
"REACTOME_GENE_EXPRESSION_TRANSCRIPTION",5.27231535556747e-05,0.000693780431718928,84,1160,561,12791,"HDAC1, MED8, PRDX1, MAGOH, GTF2B, PSMA5, RBM8A, PSMD4, TFB2M, YWHAQ, TAF1B, NRBP1, SRSF7, PSMD14, SSB, HSPD1, SEC13, PSMD6, ACTL6A, PSMD2, SPP1, CASP6, CCNB1, CDK7, CCNH, SKP1, THOC3, POLR1C, SGK1, PSMB1, ACTB, PSMA2, RFC2, PSMC2, RBBP7, CSTF2, RRAGA, PSMB7, CDK9, MED27, PSMD13, PSMA1, PSMC3, POLR2G, CASP1, AIFM2, TIGAR, AAAS, NUP37, RAN, PRMT5, PSME2, PSMA6, PSMC6, PSMA3, SNAPC1, PSMC1, HSP90AA1, LEO1, WDR61, PSMA4, NUP93, POLR2C, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, BIRC5, EIF4A3, PSMF1, TP53RK, RAE1, NELFCD, PSMA7, PRDX2, DDX39A, PSMD8, PSMC4, CD3EAP, PRMT1, PPP2R1A, SMARCB1",0.067524115755627
